q,fre,sug,eth
t1,347.69,539.75,549.37
t2,347.69,540.37,558.17
t3,347.69,535.82,562.31
t4,347.69,521.54,560.45
t5,138.95,493.06,551.01
t6,138.95,484.82,559.78
t7,9.54,477.39,557.51
t8,5.59,456.36,546.58
t9,8.34,441.54,524.56
t10,4.78,432.52,532.97
t11,8.92,434.37,548.34
t12,13.43,440.52,549.78
t13,12.61,439.08,533.27
t14,11.84,431.12,534.63
t15,11.05,421.97,530.87
t16,16.11,418.11,532.19
t17,16.23,414.65,540.02
t18,20.38,412.97,520.63
t19,25.61,424.54,506.32
t20,19.34,420.89,508.35
t21,21.17,419.87,500.13
t22,14.03,419.06,481.36
t23,9.18,407.2,454.9
t24,14.36,382.55,425.9
t25,14.52,355.87,380.02
t26,15.54,340.51,326.97
t27,15.97,336.91,322.73
t28,17.88,355.68,395.12
t29,17.95,401.81,408.3
t30,16.28,437.16,422.18
t31,14.59,450.81,405.37
t32,13.45,458.15,405.87
t33,9.37,462.91,408.25
t34,10.03,452.59,427.79
t35,11.71,445.65,437.02
t36,6.88,436.95,460.79
t37,6.41,467.68,483.74
t38,5.79,493.49,497.23
t39,4.8,550.42,510.53
t40,3.89,580.44,514.82
t41,3.89,615.06,532.32
t42,4.02,702.17,547.48
t43,4.75,759.73,608.74
t44,6.86,763.51,620.05
t45,6.86,762.37,655.44
t46,5.66,752.75,670.64
t47,5.94,753.69,665.54
t48,6.1,754.26,645.72
t49,5.19,731.35,637.53
t50,5.27,733.75,640.21
t51,5.24,739.11,653.06
t52,3.7,743.74,641.59
t53,3.62,735.5,658.21
t54,3.77,747.26,716.61
t55,3.62,756.84,740.84
t56,3.7,767.69,778.35
t57,3.62,789.75,775.37
t58,3.56,799.43,786.79
t59,3.56,808.33,767.3
t60,3.56,809.93,773.98
t61,3.56,806.73,776.11
t62,3.52,795.87,787.69
t63,3.52,788.66,788.31
t64,3.52,779.34,758.15
t65,3.52,713.4,740.22
t66,4.77,686.35,729.45
t67,4.77,694.18,729.19
t68,4.77,698.01,731.63
t69,4.77,665.79,739.72
t70,4.74,630.77,713.25
t71,5.81,586.29,688.76
t72,5.76,520.85,675.17
t73,6.3,490.74,598.75
t74,7.39,468.06,546.13
t75,10.5,458.19,526.84
t76,10.59,444.49,506.12
t77,7.98,417.45,479.51
t78,9.3,404.1,449.26
t79,11.76,398.8,401.3
t80,12.41,399.49,401.04
t81,12.04,404.5,404.25
t82,10.38,430.11,460.39
t83,10.5,479.86,504.26
t84,13.5,520.56,511.68
t85,16.22,516.07,526.33
t86,15.15,513.49,527.02
t87,14.57,476.59,530.9
t88,14.64,442.96,524.14
t89,15.27,419.18,513.53
t90,14.6,395.57,474.18
t91,15.35,372.64,455.88
t92,20.64,366.79,414.3
t93,22.81,372.24,445.94
t94,23.04,364.06,474.86
t95,19.53,349.21,476.99
t96,23.99,336.76,439.2
t97,20.91,342.42,450.47
t98,23.76,344.8,478.86
t99,27.7,351.26,478.94
t100,25.19,357.21,490
t101,21.11,360.94,510.55
t102,20.04,363.82,519.43
t103,14.33,361.79,521.8
t104,16.14,359.76,513.17
t105,14.6,351.68,509.55
t106,22.7,351.51,495.45
t107,21.38,331.53,469.01
t108,14.76,311.72,427.38
t109,22.9,298.8,440.64
t110,15.51,304.5,403.6
t111,15.51,303.66,309.92
t112,15.51,297.99,265.79
t113,15.51,303.49,300.83
t114,15.44,309.88,294.1
t115,15.44,334.13,269.28
t116,15.44,366.01,273.76
t117,15.44,426.46,285.88
t118,15.38,468.07,351.59
t119,15.38,479.65,370.62
t120,15.38,474.69,350.68
t121,15.38,460.96,320.82
t122,15.38,402.22,333.06
t123,15.3,377.79,336.97
t124,15.3,360.34,358.78
t125,15.3,352.77,414.42
t126,15.3,378.12,457.88
t127,15.19,416.32,442.23
t128,15.19,441.17,437.49
t129,15.19,445.58,435.12
t130,15.19,441.49,439.69
t131,15.06,428.6,438.4
t132,15.06,437.51,438.97
t133,15.06,450.63,461.57
t134,15.06,463.75,525.55
t135,15.06,475.74,533.97
t136,14.95,482.78,530.88
t137,14.95,487.44,529.51
t138,14.95,486.15,522.91
t139,14.95,478.59,516.96
t140,14.9,477.18,512.21
t141,14.9,473.49,515.74
t142,14.9,458.42,518.87
t143,14.9,448,546.69
t144,14.84,435.5,575.34
t145,14.84,435.5,602.8
t146,15.41,439.17,615.09
t147,14.84,443.32,647.58
t148,14.84,453.22,659.39
t149,14.74,451.7,664.86
t150,14.74,468.19,669.46
t151,14.74,481.5,667.08
t152,14.74,500.53,657.41
t153,14.61,504.75,618.95
t154,14.61,505.38,608.97
t155,14.61,491.7,600.72
t156,14.61,479.28,590.81
t157,14.61,470.01,593.8
t158,14.32,466.52,596.71
t159,14.32,461.36,596.71
t160,14.32,454.8,601.94
t161,14.32,446.83,594.28
t162,14.24,446.85,594.84
t163,14.24,446.54,593.75
t164,14.24,445.45,595.85
t165,14.24,451.82,594.06
t166,14.15,455.72,592.31
t167,14.15,481.05,596.79
t168,14.15,538.65,600.65
t169,14.15,573.24,597.72
t170,14.03,576.72,592.95
t171,14.03,571.82,592.95
t172,15.17,518.24,581.85
t173,19.44,474.45,549.16
t174,25.82,418.87,523.67
t175,36.56,412.26,459.8
t176,32.18,401.9,436.49
t177,37.62,389.26,437.4
t178,34.98,386.82,440.75
t179,21.91,391.01,438.02
t180,13.97,393.75,438.25
t181,24.04,394.52,447.16
t182,23.25,404.88,455.85
t183,18.53,424.54,497.5
t184,20.02,435.79,510.65
t185,24.88,447.34,517.95
t186,26.92,448.71,516.81
t187,26.08,454.94,504.49
t188,21.72,457.51,500.68
t189,20.86,466.91,497.19
t190,28.67,466.46,498.86
t191,25.39,465.25,499.01
t192,35.9,466.5,497.87
t193,30.06,472.39,504.22
t194,24.23,479.05,541.12
t195,21.22,490.39,597.52
t196,18.25,493.56,608.33
t197,27.98,497.54,616.04
t198,30.9,506.25,626.54
t199,32.31,511.8,622.19
t200,37.99,514.65,608.46
t201,37.12,516.47,605.06
t202,24.42,515.42,604.38
t203,25.32,511.84,603.64
t204,27.79,505.42,611.62
t205,24.26,502.12,641.11
t206,13.63,541.39,689.3
t207,13.63,585.26,718.3
t208,13.63,643.57,737.79
t209,13.63,677.62,749.09
t210,12.51,707.07,765.03
t211,12.51,707.07,754.53
t212,12.51,704.26,747.95
t213,29.91,712.83,749.58
t214,50.64,735.4,747.69
t215,46.18,755.42,764.19
t216,63.72,771.47,789.37
t217,26.9,777.36,848.93
t218,28.54,786.65,880.05
t219,29.34,773.6,909.96
t220,12.4,760.25,900.72
t221,12.4,730.2,889.65
t222,27.95,732.39,876.67
t223,17.49,742.13,847.7
t224,15.96,749.44,820.55
t225,12.84,745.64,762.9
t226,12.38,726.47,662.75
t227,26.78,720.34,625.69
t228,35.86,698.99,625.4
t229,41.27,699.43,612.46
t230,40.72,713.03,614.29
t231,44.1,720.83,616.75
t232,45.39,726.69,622.91
t233,47.41,723.46,623.71
t234,54.33,728.88,627.81
t235,53.92,738.55,642.24
t236,68.64,741.24,655.2
t237,65.1,735.54,664.85
t238,62.46,737.15,664.93
t239,66.88,713.17,654.91
t240,77.28,698.06,644.94
t241,73.38,678.77,622
t242,73.09,624.12,576.48
t243,71.37,596.64,574.8
t244,92.84,571.19,563.46
t245,90.9,557.48,560.11
t246,85.1,550.19,550.19
t247,93.39,553.69,545.09
t248,94.65,551.21,548.73
t249,79.2,541.55,554.19
t250,82.77,540.82,551.43
t251,59.72,541.11,551.14
t252,59.25,538.35,550.85
t253,50.87,532.2,550.02
t254,68.69,526.4,549.51
t255,49.73,526.55,542.63
t256,57.64,527.99,540.89
t257,61.83,525.91,538.31
t258,57.01,526.48,543.5
t259,50.72,532.39,553.59
t260,38.28,532.11,581.14
t261,26.48,531.1,607.81
t262,27.1,526.04,623.1
t263,20.21,532.22,613.91
t264,12.63,530.35,605.8
t265,12.63,526.19,598.11
t266,12.57,509.87,580.77
t267,12.57,501.29,559.47
t268,12.57,494,580.27
t269,12.57,496.72,583.2
t270,12.53,495.6,577.56
t271,12.53,493.61,582.4
t272,12.53,495.03,597.36
t273,12.53,493.89,640.58
t274,12.53,493.47,686.79
t275,12.49,494.37,674.57
t276,44.49,486.84,669.81
t277,38.19,474.19,683.87
t278,40.71,461.41,651.77
t279,38.74,439.72,615.88
t280,26.38,412.52,530.88
t281,31.67,393.54,480.8
t282,35.84,382.06,430.58
t283,86.1,372.24,422.74
t284,73.11,364.75,420.2
t285,83.16,350.63,416.46
t286,54.72,342.15,409.53
t287,59,338.48,407.2
t288,97.93,337.67,407.28
t289,100.16,340.06,410.38
t290,92.06,345.98,412.29
t291,82.36,349.64,417.36
t292,42.39,354.32,414.08
t293,20.7,357.69,408.18
t294,19.8,351.23,404.54
t295,23.85,350.95,405.31
t296,39.92,353.06,407.62
t297,89.68,355.22,407.03
t298,91.58,354.38,406.19
t299,103.09,351.44,405.84
t300,130.33,343.32,407.17
t301,117.58,332.94,405.05
t302,120.11,334.48,404.28
t303,143.47,331.55,402.18
t304,146.55,329.59,409.02
t305,165.26,328.07,440.64
t306,155.68,322.5,498.57
t307,126.07,320.97,519.98
t308,104.68,321.95,521.44
t309,117.97,324.03,524.43
t310,130.63,323.86,522.17
t311,146.47,327.73,520.17
t312,138.38,328.14,514.37
t313,137.88,329.66,508.71
t314,169.58,331.46,503.3
t315,324.94,336.54,488.74
t316,391.04,345.74,477.07
t317,391.04,353.57,466.98
t318,375.94,355.39,460.06
t319,174.85,354.16,460.06
t320,83.98,355.94,483.56
t321,111.67,361,501.39
t322,148.21,364.41,512.05
t323,95.2,367.97,513.68
t324,91.97,372.33,515.86
t325,118.59,376.41,518.24
t326,48.33,381.16,506.41
t327,57.63,380.16,487.81
t328,79.21,381.51,472.8
t329,46.1,382.19,471.45
t330,29.71,378.27,490.32
t331,27.73,368.86,513.85
t332,19.67,360.68,503.04
t333,10.38,355.58,466.61
t334,23.01,354.77,442.8
t335,34.29,350.75,428.84
t336,50.69,347.24,421.36
t337,50.72,347.51,425.56
t338,46.95,346.71,451.06
t339,51.09,349.24,481.57
t340,58.37,350.05,472.87
t341,60.5,358.79,479.29
t342,67.96,363.56,480.35
t343,73.02,370.32,474.99
t344,96.89,373.38,460.71
t345,91.59,378.14,458.53
t346,77.87,379.85,469.76
t347,52.94,389.5,489.71
t348,47.99,395.58,487.93
t349,61.44,403.25,487.19
t350,69.73,407.6,489.43
t351,78.45,407.2,499.97
t352,79.85,409.44,504.39
t353,65.85,408.92,502.06
t354,64.35,408.92,500.69
t355,49.84,409.05,483.83
t356,61.15,405.64,466.51
t357,65.43,405.64,448.54
t358,68.88,401.31,445.95
t359,78.51,401.05,478.76
t360,74.35,401.7,500.26
t361,61.18,401.18,482.81
t362,62.15,403.45,479.83
t363,67.5,410.22,479.64
t364,73.75,424.69,481.4
t365,59.79,427.04,481.79
t366,48.07,428.63,488.63
t367,18.25,438.49,498.82
t368,40.64,470.41,504.53
t369,91.19,507.64,522.56
t370,71.7,537.22,522.56
t371,42.19,563.31,529.51
t372,48.78,581.5,506.41
t373,40.96,598.79,469.58
t374,10.52,605.37,458.48
t375,42.06,621.29,445.98
t376,53.82,634.29,438.38
t377,69.66,637.13,411.79
t378,63.22,602.49,381.53
t379,68.13,603.2,362.28
t380,20.25,599.61,372.91
t381,32.06,599.1,429.49
t382,24.3,587.18,438.66
t383,29.07,582.27,375.19
t384,29.18,576.4,368.94
t385,23.09,562.5,372.13
t386,23.02,567.09,376.97
t387,23.63,562.11,374.87
t388,23.89,556.03,369.2
t389,22.22,541.54,375.49
t390,25.93,521.21,386.93
t391,27.15,521.84,410.25
t392,32.71,522.87,440.02
t393,24.62,520.09,461.7
t394,19.94,525.28,454.28
t395,13.16,529.09,436.28
t396,13.63,531.75,458.85
t397,10.32,535.89,449.68
t398,10.32,563.36,446.45
t399,10.32,594.13,465.25
t400,10.32,640.08,478.8
t401,10.3,680.35,470.51
t402,10.3,697.78,497.54
t403,10.3,710.41,497.73
t404,10.3,719,537.32
t405,10.27,723.79,564.41
t406,10.27,718.5,567.18
t407,10.27,719.38,588.15
t408,10.27,724.3,603.2
t409,10.27,723.41,608.87
t410,10.23,715.32,593.84
t411,10.23,711.68,597.23
t412,10.23,694.62,585.62
t413,10.23,696,581.99
t414,10.19,699.93,584.22
t415,10.19,716.68,602.77
t416,10.19,744.8,640.01
t417,10.19,777.04,681.44
t418,10.12,800.16,683.38
t419,7.94,880.16,723.94
t420,7.94,887.48,737.52
t421,7.94,893.93,747.63
t422,7.94,896.53,740.12
t423,7.88,892.05,714.58
t424,7.88,892.55,691.32
t425,7.88,896.61,671.19
t426,7.88,895.01,613.1
t427,19.19,878.26,572.4
t428,10.76,847.77,506.35
t429,15.73,847.89,498.27
t430,22.14,827.2,463.56
t431,23.25,818.01,468.6
t432,15.88,824.09,556.31
t433,7.79,804.25,506.64
t434,14.9,753.72,464.09
t435,14.41,659.01,450.82
t436,15.07,574.48,442.65
t437,18,512.66,440.22
t438,20.03,493.38,437.01
t439,21.35,501.87,429.92
t440,34.21,488.77,427.56
t441,36.89,490.11,425.5
t442,36.29,488.9,447.44
t443,39.93,489.02,450.1
t444,60.98,487.76,447.45
t445,62.27,486.54,447.45
t446,58.34,492.73,499.7
t447,49.48,498.54,497.03
t448,44.34,522.54,495.82
t449,63.79,540.15,509.55
t450,75.96,554.2,507.92
t451,71.6,578.8,506.4
t452,74.98,587.64,503.8
t453,63.85,609.62,504.08
t454,75.86,626.26,513.48
t455,70.74,695.62,525.24
t456,79.92,750.14,550.03
t457,101.14,805.62,582.63
t458,85.03,855.06,585.45
t459,70.5,861.29,585.68
t460,86.57,876.85,584.37
t461,87.03,891.7,586.88
t462,88.48,887.68,583.59
t463,72.26,891.01,589.89
t464,75.53,888.16,593.98
t465,61.39,903.71,617.67
t466,48.25,890.74,621.89
t467,54.8,883.54,629.62
t468,45.55,887.91,637.05
t469,38.16,894.87,637.05
t470,31.78,900.53,637.05
t471,41,891.24,652.46
t472,7.07,900.72,646.2
t473,9.25,899.55,648.01
t474,12.95,892.06,650.53
t475,10.12,893.57,645.89
t476,22.26,880.8,664.87
t477,31.87,865.6,690.7
t478,37.28,854.92,722.16
t479,46.68,837.73,772.02
t480,6.96,826.1,792.12
t481,14.09,809.74,860.6
t482,7.76,799.95,940.07
t483,6.9,774.64,833.22
t484,6.9,767.78,791.78
t485,6.9,759.32,791.15
t486,6.9,751.89,791.15
t487,6.9,729.14,764.35
t488,8.89,715.38,605.88
t489,7.91,693.99,550.64
t490,8.9,662.25,560.6
t491,9.72,629.03,578.69
t492,17.02,611.5,574.81
t493,18.6,616.16,615.93
t494,19.89,623.88,652.96
t495,16.91,634.45,652.51
t496,17.43,646.48,650.45
t497,15.81,690.71,643.42
t498,13.12,738.12,642.56
t499,11.86,775.55,644.89
t500,11.02,789.5,645.06
t501,13.45,781.73,642.17
t502,9.24,777.21,651.44
t503,10.22,769.3,683.76
t504,13.79,763.76,704.44
t505,9.43,758.05,687.68
t506,9.82,745.8,685.94
t507,11.81,733.21,681.22
t508,13.38,709.71,667.39
t509,13.94,704.99,665.88
t510,24.3,696.27,680.93
t511,24.23,697.61,681.27
t512,21.78,710.37,689.55
t513,13.39,707.12,703.65
t514,21.4,707.47,702.96
t515,24.51,717.72,708.42
t516,22.11,710.92,713.93
t517,25.3,712.48,716.94
t518,35.71,708.16,705.56
t519,29.05,706.39,705.06
t520,19.79,703.29,699.91
t521,25.32,695.64,685.06
t522,22.42,702.29,662.08
t523,26.15,692.98,661.03
t524,16.36,683.84,674.25
t525,6.72,676.68,639.05
t526,6.72,679.65,603.52
t527,9.64,672.77,590.95
t528,20.67,647.87,593.86
t529,30.63,640.63,635.09
t530,34.66,637.78,639.48
t531,37.35,629.88,646.46
t532,53.88,629.66,657.13
t533,76.2,621.45,660.91
t534,77.19,629,662.11
t535,73.05,636.01,665.34
t536,100.84,634.79,659.64
t537,105.53,622.72,654.53
t538,110.93,598.79,631.31
t539,104.82,581.5,620.76
t540,102.38,580.17,631.05
t541,97.63,588.95,626.28
t542,93.01,596.21,619.62
t543,103.97,596.75,600.82
t544,96.09,599.96,593.46
t545,79.54,592.7,586.75
t546,80.23,596.49,585.67
t547,56.01,598.12,586.75
t548,42.36,597.14,583.34
t549,30.65,585.96,572.65
t550,51.38,596.42,569.3
t551,57.31,630.92,569.25
t552,55.98,640.95,570.98
t553,47.66,633.71,564.83
t554,57.32,621.79,554.69
t555,62.44,591.94,554.63
t556,69.15,576.16,557.32
t557,73.95,572.72,579.54
t558,92.7,550.69,576.26
t559,96.75,558.69,574.76
t560,101.96,520.69,559.34
t561,100.44,504.78,554.69
t562,97.66,519.54,543.64
t563,129.8,540.03,543.64
t564,171.86,555.74,534.08
t565,153.86,546.71,532.17
t566,191.36,536.17,529
t567,226.76,523.94,561.44
t568,239.24,533.85,586.87
t569,166.46,532.38,589.03
t570,164.46,521.72,596.31
t571,107.8,510.2,597.18
t572,144.18,505.7,591.74
t573,98.2,514.38,590.8
t574,179.97,526.21,593.63
t575,178.09,511.76,595.47
t576,287.91,513.53,593.81
t577,177.32,504.39,591.68
t578,249.41,500.14,595.1
t579,161.39,499.43,599.39
t580,91.22,491.17,618.48
t581,81.87,493.96,636.43
t582,112.24,495.71,650.77
t583,162.2,490.21,647.88
t584,193.49,485.79,645.36
t585,176.87,447.39,633.5
t586,174.64,437.64,618
t587,165.06,442.87,617.64
t588,153.03,434.22,619.98
t589,97.33,444.84,656.54
t590,77.33,462.2,664.71
t591,66.06,464.55,601.8
t592,142.07,459.18,572.57
t593,173.98,458.16,583.05
t594,181.78,449,577.76
t595,181.51,445.95,553.29
t596,181.76,452.87,555.63
t597,164.75,448.75,565.3
t598,91.82,440.63,578.04
t599,98.4,450.68,582.3
t600,85.19,456.97,590.16
t601,50,458.96,584.97
t602,54.89,455.41,575.68
t603,63.57,444.56,556.86
t604,65.54,445.78,549.51
t605,77.7,448.45,551.23
t606,83.92,433.27,548.75
t607,75.3,435.8,546.68
t608,88.08,440.76,551.28
t609,80.59,445.21,566.51
t610,130.63,448.91,564.54
t611,138.16,452.23,574.52
t612,139.45,459.7,576.69
t613,134.2,473.31,592.17
t614,134.41,488.98,588.11
t615,124.93,501.12,588.41
t616,127.53,519.07,587.21
